PRODUCTO	VENTA	COSTO 	GANANCIA 	GASTO OPERATIVO	PRECIO VENTA 		COSTO GENE	GANANCIAS 	GASTOS OPERATIVOS	VENTA TOTAL
AROS CEBOLLA 		 $ 3.348,00 	 $ 3.652,00 	 $ 1.000,00 	 $ 7.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
BANCON  G		 $ 3.775,00 	 $ 3.725,00 	 $ 1.000,00 	 $ 7.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
TENDER G		 $ 3.554,00 	 $ 4.446,00 	 $ 600,00 	 $ 8.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
TEXAS BBQ		 $ 5.675,00 	 $ 7.825,00 	 $ 500,00 	 $ 13.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
TROPICAL		 $ 4.535,00 	 $ 7.465,00 	 $ 1.000,00 	 $ 12.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
PERRO BURGER 		 $ 6.035,00 	 $ 7.965,00 	 $ 1.000,00 	 $ 14.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
TRIPLE GOSA		 $ 5.044,00 	 $ 8.956,00 	 $ 400,00 	 $ 14.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
PERRO RANCHERO		 $ 3.535,00 	 $ 6.465,00 	 $ 1.000,00 	 $ 10.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
GOSA CLAUS 		 $ 6.355,00 	 $ 6.645,00 	 $ 1.000,00 	 $ 13.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
CLASUS DOBLE 		 $ 7.826,00 	 $ 9.674,00 	 $ 1.000,00 	 $ 17.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
GOSA BURGER		 $ 5.384,00 	 $ 4.616,00 	 $ 1.000,00 	 $ 10.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
GOSA DOBLE		 $ 7.484,00 	 $ 7.016,00 	 $ 1.000,00 	 $ 14.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
CRSPY		 $ 6.335,00 	 $ 6.645,00 	 $ 1.000,00 	 $ 13.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
CRSPY DOBLE 		 $ 8.826,00 	 $ 8.674,00 	 $ 1.000,00 	 $ 17.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
MADURITA		 $ 6.517,00 	 $ 6.983,00 	 $ 1.000,00 	 $ 13.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
INDOMABLE 		 $ 6.555,00 	 $ 6.945,00 	 $ 1.000,00 	 $ 13.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
MADURITA DOBLE 		 $ 8.617,00 	 $ 9.383,00 	 $ 1.000,00 	 $ 18.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
 SALCHI GOSA		 $ 7.285,00 	 $ 7.215,00 	 $ 500,00 	 $ 14.500,00 		 $ -   	 $ -   	 $ -   	 $ -   
RAPI GOSA 		 $ 4.682,00 	 $ 4.318,00 	 $ 1.000,00 	 $ 9.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
 SUPREMA		 $ 10.089,00 	 $ 14.911,00 	 $ 1.200,00 	 $ 25.000,00 		 $ -   	 $ -   	 $ -   	 $ -   
QUESO DC		 $ 495,00 	 $ 705,00 		 $ 1.200,00 		 $ -   	 $ -   		 $ -   
 QUESO CHE		 $ 1.597,00 			 $ 1.500,00 		 $ -   			 $ -   
SALCHICHA		 $ 900,00 					 $ -   			
TOCINETA		 $ 387,00 					 $ -   			
PAPA		 $ 1.133,00 	 $ 2.867,00 		 $ 4.000,00 		 $ -   	 $ -   		 $ -   
CHORIZO		 $ 900,00 	 $ 1.100,00 		$ 2.000		 $ -   	 $ -   		$ 0
CHICHARRON		 $ 1.376,00 	 $ 2.124,00 	0	$ 3.500		 $ -   	 $ -   		$ 0
CARNE HAMBURGUESA		 $ 1.800,00 	 $ 1.200,00 		 $ 3.000,00 		 $ -   	 $ -   		 $ -   
AGUA			 $ -   							
COCA COLA		 $ 1.458,00 	 $ 1.042,00 		 $ 2.500,00 		 $ -   	 $ -   		 $ -   
COMBO		 $ 2.591,00 	 $ 2.409,00 		 $ 5.000,00 		 $ -   	 $ -   		 $ -   
